NCR No,NCR Description,Stage Of Inspection,Equipment,NCR Class,Status,Rectification Required,Proposed Solution,Problem Category,Root Cause,Root Cause Category,Corrective Action,Workman or Management,Disposition,Referred to Customer,Comments from Design,Implemented Solution,Corrective Action Implemented,Validate On,QA Approve On,QC Closure On,Designer Review On,CTQ,PBU,NCR COPQ,Root Cause Finalised in Hours,Time to give disposition in hours
S020014A-NCR-005,"Project no. S020014A  Requirement: Hand hole cut-out radius on shell-1 shall be 230.5 mm on circumferential side  Deviation: During Hand Hole Nozzle cut out at 331°, one groove occurred beyond the boundary of cut-out (230.5mm). Refer report for detail.  Objective evidence: Report no. 1104/DE/690/01 Dated 27.07.2018",HHN cut-out ,Other,Minor,Closed,Yes,Rectification shall be given by Design/WE.,Materials,Malfunction in CONO machine’s movement.,Base Material Defect,"1. NA, as same person with same machine has successfully carried out 3 cut-outs without any problem. 2. However dry run shall be taken at cut-out location prior to start actual cutting.",Management,Accept as it is,Yes,"Groove shall be filled up by weld built-up, followed by applicable NDE. Repair seam no. shall be NW1109FD/R.",Rework completed as per LTFPS no. 7198.,NULL,2018-08-21,2018-10-19,2018-10-23,2018-10-19,NULL,NULL,NULL,87,2592
NCR-00018,"Project no. S020014B  Requirement: As per para 12.1 of NPCIL Specification no. PC-P-977 Rev. 0, At least one production test coupon per Steam Generator shall be produced to represent the inconel cladding done on the tubesheet, by the same set of welders and equipment.  Deviation: During Weld Data Sheet Review of seam No. OW1101, it is observed that welder HJF (S.B.Chandigara) has done welding for seam OW1101 but not done for PWTC seam no. OW1101/PWTC-1 (This shall be used as STC+FTC+RTC)  Note: Welder HJF (S.B.Chandigara) has done welding for seam no. OW1101/PWTC-2 (This shall be used as tube to Tubesheet weld)  Objective evidence: WDS for Seam no. OW1101 & OW1101/PWTC-1",Welding ,Tubesheet,Minor,Closed,No,May be accepted as is,Materials,1) Requirement of welding in PWTC is met by welding in at least one PWTC (Welder has welded in PWTC Part-2) however requirement of welding in both PWTCs is not communicated anywhere.,Base Material Defect,1) Note to be added in LTFPS to ensure same set of welders weld on job and PWTC.  2) A list to be made of welders whoever would weld in PWTCs and that list can be verified and only after that welders can weld in relevant Tube sheet.,Management,Accept as it is,No,"As discussed with welding engineering and PMG, possible testings pertaining to SASC W/O shall be done from PTC part 2 where concerned welder has done the welding. Accordingly some QCBs can be moved from PTC part 2 to PTC part 1, if required.",Rework to be performed as per NU-SG-C180002-PMGLTR-0050 Dated 28.08.2018  NPC-NCR-027 raised,NULL,2018-09-11,2018-09-17,2019-01-24,2018-09-22,NULL,NULL,NULL,382,423
NCR-01018,"Project no. S020014A  Requirement: After gas cutting of PWTC, part shall be free from surface defects.   Deviation: After gas cutting of Tubesheet PWTC-3 (Part no. 11024F), damage mark due to gas cutting observed on both separated parts at corner locations.  Objective evidence: Refer report no. 1108/VE/30/01 Dated 17.08.2018 for detail.",Gas cutting,Other,Minor,Closed,No,"Since the damage on the PWTC is at the thickness location at one corner, it will not have any impact as far as specimen removal from PWTC is concerned. Hence the deviation can be accepted as it is.",Other,"During the parting of PWTC into two parts by gas cutting, lump was generated due to higher thickness of the PWTC (130 mm thk.) & inadequate oxygen pressure in the oxygen line provided in the shop.",Improper Gas Cutting,a) The cutting was stopped immediately. Oxygen cylinders were arranged from outside & further cutting was completed by using oxygen cylinders from outside. The cutting quality immediately improved. b) It is decided that henceforthe any plate above 100 mm thick shall be cut by using oxygen cylinders & shall not be cut by using the oxygen from the oxygen line of the shop. c) Balance 2 nos. of PWTCs for SG-B & C were cut by this process & the cutting quality was excellent.,Management,Accept as it is,No,Acceptable.,Accepted as is. Damaged portion will be discarded.,NULL,2018-09-13,2018-09-17,2018-11-22,2018-09-22,NULL,NULL,NULL,1420,1422
NCR-01019,"Project no. S020014C  Requirement: Weld size of  Seam no. BW1102B for Support Plate-3 shall be as per Document no. NU-700-SG-GHAVP-SK-16, Rev. 1.  Observation:   It is observed that weld seam no. BW1102B extended up to 755 mm against requirement of 412 mm towards 0° and shortened up to 430mm against requirement of 708mm towards 180°.  Objective evidence: Refer attached inspection report no. 1102/90/DE/01, Dtd. 27.08.2018",Dimension Inspection,Other,Major,Closed,Yes,-Leftover area welding to be carried out as per existing documents  -Extra welded area may be left as is after designers concurrence.  ,Materials,"Welder mistake, Overlooked original marking.",Base Material Defect,1)Involved welder and fabricators were advised to adhere to the cleared marking and not to proceed in absence of the same. 2)TS loading orientation shall be incorporated in the fixture drawing and shall be marked on fixture.,Workman,Accept as it is,No,The Deviation not acceptable. Remove the buttering done in wrong area and correct the buttering as per drawing requirement.,Rework performed as per Approved LTFPS No. 7200.,Yes,2018-09-13,2018-09-21,2018-11-22,2018-09-22,NULL,NULL,NULL,50,196
S020014A-NCR-002B,"Project no. S020014A  Requirement: Acceptance for LPE shall be as per para A.7 of LTTS-504, Rev. 0  Observation: LPE indications were observed on base metal of Hand Hole Nozzle (FIM) after machining. Item No. 11003F/2.  Objective evidence: Refer attached inspection report no. 1103-01/40&50/LPE/002, Dtd. 05.09.2018 for details.",LPE,Nozzle Forging,Minor,Closed,Yes,Rectification shall be carried out as per approved LTFPS-7202,Materials,Nozzle is Free Issue Material. PT indications observed after finished machining.,Base Material Defect,NA,Management,Accept as it is,Yes,The PT indication shall be removed in stages of 0.5 mm upto maximum 2 mm depth. Customer acceptance taken on repair LTFPS. ,"During rework as per LTFPS No. 7202, groove was prepared till LPE indications were removed. During grinding adjacent to groove surface, other LPE indications were observed on top side. Hence, Hand Hole Nozzle (Part no. 11003F/2) is rejected. Refer L&T Letter no. NU-SG-C180002-PMGLTR-0087 Dated 24.10.2018 and NPCIL approval letter No. NPCIL/33111/NE/2018/M/545 Dated 12.12.2018 for more detail.",NULL,2018-10-16,2018-10-17,2018-11-22,2018-10-22,NULL,NULL,NULL,139,257
S020014A-NCR-001B,"PROJECT NO.: S020014A-D (700 MWe Steam Generator Tag No. A to D)    DEVIATION: During TC review of SS 1.4550 (Heat no. 1501J0158), 4 mm thick sheets (39 nos.) w.r.t to L&T specification no. NU-SG-0014-MAT-005, Rev.01, following deviations observed.  1. Material manufactured as per DIN EN 10028-7: 2008-2 against require DIN EN 10028-7: 2016.  2. Steel melted in EF followed by AOD process with ladle refining instead of VD.  3. Residual Cu value not reported for the products.  4. Under tolerance used for thickness measurement of sheets.    OBJECTIVE EVIDENCE: Refer attached TC/CMTR no. JSL-CRD/QA/2014-15/PTC/00001088.",NULL,Plate,Minor,Closed,Yes,For Sr. No 1 to 2 & 4: To be accepted as it is  For Sr. No 3: Residual Cu content shall be tested at L&T,Materials,Leftover cleared material of past KAPP-RAPP SG is used,Base Material Defect,NA,Management,Accept as it is,Yes,"Acceptable based on customer acceptance, refer attached customer acceptance of L&T letter No. NU-SG-0014-CCO-031 and NPCIL acceptance to that in email dated 29-August-18.","For Sr. No 1 to 2 & 4:: Acceptable based on customer acceptance, refer attached customer acceptance of L&T letter No. NU-SG-0014-CCO-031 and NPCIL acceptance to that in email dated 29-August-18.  For Sr. No 3: Residual Cu content is tested as per LTFPS No. 7197 and found satisfactory.",NULL,2018-10-30,2019-10-11,2019-10-12,2019-10-12,NULL,NULL,NULL,104,215
S020014A-NCR-003,"PROJECT NO.: S020014A-D (700 MWe Steam Generator Tag No. A to D)    DEVIATION: During TC review of 16Mo3 plates w.r.t to L&T specification no. NU-SG-0014-MAT-003, Rev.01, following deviations observed.  1. Material manufactured as per DIN EN 10028-2: 2003, 2009 against require DIN EN 10028-2: 2017.  2. Steel melting process is BOF with ladle refining instead of EF, VD & Fully killed with fine grain structure.  3. Supply condition not punched on plate and Identification details not mentioned in TC/CMTR.    OBJECTIVE EVIDENCE: Refer attached TC/CMTR no. VNA 1000009/1 and VNA 1000031/1.",NULL,Other,Minor,Closed,No,To be accepted as it is,Materials,Leftover cleared materials of past KAPP/RAPP SG is used,Base Material Defect,NA,Management,Accept as it is,Yes,"Deviations acceptable, Deviations referred to customer through letter no. NU-SG-0014-CCO-032 and accepted by customer through e-mail dated 5-sep-18, both attached.  Third point of NCR needs correction. QC confirmation mail is also attached  herewith","Deviation 1 & 2: Deviations referred to customer through letter no. NU-SG-0014-CCO-032 and accepted by customer through e-mail dated 5-sep-18, both attached.  Deviation 3: Supplied condition shall be verified co-relation with TC/CMTR. Identification detail are verified.",NULL,2018-10-25,2018-10-26,2019-01-01,2019-01-01,NULL,NULL,NULL,196,215
S020014A-NCR-004,"PROJECT NO.: S020014A-D (700 MWe Steam Generator Tag No. A to D)    DEVIATION: During TC review of 16Mo3 plates w.r.t to L&T specification no. NU-SG-0014-MAT-003, Rev.01, following deviations observed.  1. Material manufactured as per DIN EN 10028-2: 2003, 2009 against require DIN EN 10028-2: 2017.  2. Steel melting process is BOF with ladle refining instead of EF, VD & Fully killed with fine grain structure.  3. Supply condition not punched on plate and Identification details not mentioned in TC/CMTR.    OBJECTIVE EVIDENCE: Refer attached CCM for TC/CMTR no. VNA 1000031/3.",NULL,Other,Minor,Closed,No,To be accepted as it is,Materials,Leftover cleared material of past KAPP/RAPP SG is used,Base Material Defect,NA,Management,Accept as it is,Yes,"Deviations acceptable, Deviations referred to customer through letter no. NU-SG-0014-CCO-032 and accepted by customer through e-mail dated 5-sep-18, both attached.  Third point of NCR needs correction. QC confirmation mail is also attached  herewith","Deviation 1 & 2: Deviations referred to customer through letter no. NU-SG-0014-CCO-032 and accepted by customer through e-mail dated 5-sep-18, both attached.  Deviation 3: Supplied condition shall be verified co-relation with TC/CMTR. Identification detail are verified.",NULL,2018-12-06,2018-12-24,2019-03-25,2018-12-27,NULL,NULL,NULL,94,113
NCR-01029,"Stage: Receipt inspection of Shell II (NA30/K)  Requirement: Material shall be free from pitting, dents and other surface imperfection.  Observation: Dent observed on WEP surface of shell-II. For detail of location and size refer Annexure-C to Report no. VDR/2064.  Objective evidence: Refer attached inspection report no. Annexure-C to Report no. VDR/2064 Dtd. 10.08.2018 for details.",Receipt Inspection,Shell,Minor,Closed,No,To be accepted as it is,Materials,Minor dent observed at LTSSHF during handling,Base Material Defect,"Refer attachment ""LTSSHF-RCA""",Management,Accept as it is,No,Acceptable,Dent observed on WEP surface of shell-II is accepted as is.,NULL,2018-12-18,2019-01-01,2019-06-23,2019-06-08,NULL,NULL,NULL,98,128
S020014A-NCR-008,"Stage: Thickness check after pitting removal of Shell-5 (FIM).  Requirement: Thickness of Shell-5 shall be 71.5 +1.5/-0.0 mm.  Observation: Thickness of Shell-5 observed 70.60 to 72.58 mm.  Objective evidence: Refer attached inspection report no. 7009/DE/90/01 Dated 31.08.2018, 7009/DE/90/02 Dated 06.09.2018,   7009/DE/90/03 Dated 28.09.2018, 7009/DE/90/04 Dated 04.10.2018 for details.",NULL,Other,Minor,Closed,No,To be accepted as it is,Materials,Shell-5 was issued as FIM. Severe pitting were observed during receipt inspection.,Base Material Defect,Not applicable as the non-conformity is related to FIM ,Management,Repair (Rectify Partially),Yes,Pitting shall be removed by grinding / machining. Min. acceptable thickness after pitting removal is 69.5. Same has been referred to customer (NU-SG-0014-CCO-021 )and acceptance taken.,"Reduction in thickness is accepted in consultation with customer.  Refer L&T letter no.: NU-SG-0014-CCO-021 dated 26/07/2018 and Letter  from NPCIL dated 27 July, 2018",NULL,2019-01-03,2019-02-07,2019-02-18,2019-02-16,NULL,NULL,NULL,403,578
NCR-01032,Project no. S020014A  Stage: Receipt inspection of Spherical Segment (SA 10)  Requirement: Material should be free from surface defects.  Deviation: During receipt inspection of Spherical Segment (SA 10) pitting marks of depth up to 0.30 mm observed.  Objective evidence: Report no. K701/VE/30/PH/01 Dated 05.10.2018,NULL,Steam Generator,Major,Closed,Yes,Rectification shall be as per approved LTFPS-7203,Materials,Spherical Head was issued as FIM. Severe minor pitting were observed during receipt inspection.,Base Material Defect,Not applicable as the non-conformity is related to FIM,Management,Repair (Rectify Partially),No,Pitting shall be removed by grinding / machining. Min. achieved thickness to be reported after machining for further clearance.,Rework completed as per approved LTFPS no. 7203.,Yes,2019-01-02,2019-01-03,2019-01-03,2019-01-03,NULL,NULL,NULL,150,199
S020014A-NCR-006,"PROJECT NO.: S020014A-D (700 MWe Steam Generator Tag No. A to D)    DEVIATION: During TC review of 16Mo3 plates w.r.t to L&T specification no. NU-SG-0014-MAT-003, Rev.01, following deviations observed.  (1) Material manufactured as per DIN EN 10028-2: 2003, 2009 corrigendum against require DIN EN 10028-2: 2017.  (2) Steel melting process is BOF with ladle refining instead of EF, VD & Fully killed with fine grain structure.  (3) Supply condition not punched on plate.    OBJECTIVE EVIDENCE: Refer attached Contract Compliance Matrix (CCM) for TC/CMTR no. VNA 1000009/3 and VNA 1000009/6.",NULL,Other,Major,Closed,No,To be accepted as it is,Materials,This is cleared material of past KAPP/RAPP SG Project as per KAPP/RAPP project specification requirements. This NCR is prepared to regularize the difference between KAPP/RAPP SG specification and GHAVP Specifications.,Base Material Defect,"For old project cleared materials, CCM will be prepared and the deviations with respect  to new specifications will be reported to NPCIL. Such deviations shall be regularized through NCR.",Management,Accept as it is,Yes,"Deviations acceptable, Deviations referred to customer through letter no. NU-SG-0014-CCO-032 and accepted by customer through e-mail dated 5-sep-18, both attached.","Deviation 1 & 2: Deviations referred to customer through letter no. NU-SG-0014-CCO-032 and accepted by customer through e-mail dated 5-sep-18, both attached.  Deviation 3: Supplied condition is verified with TC/CMTR. Identification detail are verified.",Yes,2019-01-28,2019-03-04,2019-04-15,2019-03-13,NULL,NULL,NULL,31,150
NCR-01035,"Project no. S020014A  Stage: Testing of STC Part of PWTC for Circ. Seam CW1201F (LTFPS 1205, OPN 240) & CW1202F (LTFPS 1206, OPN 240)  Requirement: Material shall meet the chemical requirement of applicable specification.  Deviation: During chemical test, deviation observed in Base Metal & Weld Metal as per Annexure-1.  Objective evidence: Refer Annexure-1 for detail of deviation and respective test report.",STC Testing,Steam Generator,Minor,Closed,No,For deviations other than P: To be accepted as it is as per response received from NPCIL on L&T letter NU-SG-0014-PMGLTR-0205 dated 22-Mar-19.  For deviation in P: Retest to be carried out.,Materials,Misinterpretation of specification to apply the chemistry requirements in LTTS (LTTS 508A),Others,LTTS-508A shall be revised as per NPCIL approval,Management,Accept as it is,No,"Phosphorus deviation, retesting carried out and found acceptable, all other deviations are acceptable based on revised LTTS-508 attached herewith.","Phosphorus deviation, retesting carried out and found acceptable.  All other deviations are acceptable based on revised LTTS-508A, Rev. R2",NULL,2019-02-25,2019-03-07,2019-03-15,2019-03-08,NULL,NULL,NULL,8313,8332
NCR-01036,Project no. S020014D  Stage: Identification of FTC for Tubesheet (Part no. 11027)  Requirement: Outside Arc Length of FTC for Tube sheet (Part no. 11027) shall be 550 mm min.   Deviation: Actual Arc length of FTC-C is observed 315 mm.  Objective evidence: LTSSHF Report no. VDR/2133 Dated 27.09.2018,Material Identification,Nuclear,Minor,Closed,No,To be accepted as it is or short in length shall be compensated by additional FTCs/Reserves supplied by LTSSHF.,Materials,Sufficient material in single length is not available.,Base Material Defect,Not applicable,Management,Accept as it is,No,Acceptable as short length of FTC can be compensated with additional FTC / reserve supplied by LTSSHF.,RES-2 is identified against Part no. 11027 as per Report No.:  1102 / MI / 250 / 02 dated Date: 31.12.2018,NULL,2019-03-08,2019-04-05,2019-09-02,2019-05-02,NULL,NULL,NULL,18,1629
S020014A-NCR-009,"Project no. S020014A-D  Stage: Test Certificate review for 20MnMoNi55 Rolled Plates.  Requirement: Material shall meet the requirement of NPCIL Specification PC-M-964, Rev. 0 & L&T Specification NU-SG-0014-MAT-001, Rev. 1  Deviation: Refer TCDR-20MnMoNi55 for detail.  Objective evidence: Refer L&T & NPCIL reviewed CCM.",NULL,Plate,Minor,Closed,No,1. Deviation in Hardness reporting shall be corrected by Hardness measurement at L&T as per LTFPS-7205.  2. Angel beam UE shall be carried out at L&T as per LTFPS-7196.  3.  Residual magnetism shall be measured after the components are cut and shall be demagnetized if the residual magnetism is more than the permissible limit.  4. Other deviations shall be accepted as it is.,Other,These plates are taken from L&T stock which were used in past KAPP/RAPP Steam Generator Projects. GHAVP SG specifications are revised from KAPP/RAPP Steam Generator Specifications. These plates are not meeting the GHAVP Steam Generator specifications.,Others,"For Old project cleared materials, contract compliance matrix will be prepared and the deviations with respect to new specifications will be reported to NPCIL. Such deviations will be regularized through NCR if the deviations are acceptable.",Management,Accept as it is,Yes,"Acceptable. Customer acceptance taken refer  NU-SG-0014-CCO-042 and NPCIL acceptance ""reply to NU-SG-0014-CCO-042"".",1. Hardness Measurement is carried out as per LTFPS-7205.  2. Angel beam UE is carried out at L&T as per LTFPS-7196.  3.  Residual magnetism shall be measured after the components are cut and shall be demagnetised if the residual magnetism is more than the permissible limit.  4. Other deviations are accepted as it is.,NULL,2019-03-07,2019-03-13,2019-04-04,2019-04-04,NULL,NULL,NULL,430,504
S020016A-NCR-003,"Requirement: Surface finish required 4 to 8µRa (F1).Deviation: After FSTS WEP machining on 12 Tube mockup, base metal defect is observed at 90° orientation of Bore No. 02 and at 270° orientation of Bore No. 03.Evidence: Refer attached Report No.: ES-122M/DT/130/01, Dated: 22.11.2018 for details.",NULL,Other,Minor,Closed,Yes,Rectification (Merging and welding - If required)  to be done as per approved LTFPS,Materials,Plate minor Inherent discontinuity may have opened up after  machining,Base Material Defect,One of case - NA,Management,Repair (Rectify Partially),Yes,Rectification shall be done as per approved repair LTFPS NO. ES-412,Rectification done as per approved LTFPS No. ES-412 and found satisfactory. ,NULL,2019-03-07,2019-05-02,2019-06-05,2019-05-02,NULL,NULL,NULL,379,1482
